"SP","CHROM","START","END"
"Aboye","276930",18445,35503
"Aboye","285249",1842,75111
"Aboye","277492",14691,21910
"Aboye","284383",38620,47781
"Aboye","283827",28863,40388
"Aboye","286863",660,35119
"Aboye","287857",69583,76777
"Aboye","279065",1741,5456
"Aboye","289189",38125,52646
"Aboye","285216",32613,55232
"Aboye","285922",5402,17682
"Aboye","273690",3645,19523
"Aboye","277436",18469,31840
"Aboye","284635",9603,45727
"Aboye","290080",28283,36172
"Aboye","276623",32223,40668
"Aboye","241269",524,19872
"Aboye","276525",480,6638
"Aboye","265619",522,8159
"Aboye","282815",45120,57378
"Aboye","281388",7591,15674
"Aboye","269831",1233,13047
"Aboye","273015",21727,30320
"Aboye","277551",6577,26615
"Aboye","287373",49130,66102
"Aboye","278381",2082,14727
"Aboye","267841",1052,10965
"Aboye","290887",42479,48245
"Aboye","262111",9190,28289
"Aboye","289794",37218,48628
"Aboye","287763",801,14833
"Aboye","291890",9500,20211
"Aboye","290126",32681,45711
"Aboye","285275",18605,29717
"Aboye","287686",818,7920
"Aboye","277500",660,32161
"Aboye","289387",16973,28725
"Aboye","289519",13014,22495
"Aboye","283232",31949,72070
"Aboye","283215",3381,9025
"Aboye","278053",10680,31637
"Aboye","285396",6506,76341
"Aboye","292006",78073,88234
"Aboye","287807",32,6710
"Aboye","286856",37326,49980
"Aboye","286872",7357,20814
"Aboye","281080",23550,25919
"Aboye","291315",24828,38496
"Aboye","282764",4976,8619
"Aboye","191",7099,54389
"Aboye","268449",7099,29234
"Aboye","283568",26492,47026
"Aboye","267713",4160,14862
"Aboye","283545",14483,30525
"Aboye","287979",460,7493
"Aboye","267884",13542,35233
"Aboye","283296",830,11722
"Aboye","288226",10727,20608
"Aboye","290404",8737,27778
"Aboye","290649",18,4495
"Aboye","281125",4482,24573
"Aboye","289591",42486,54221
"Aboye","270425",5232,10544
"Aboye","286003",10663,24891
"Aboye","287856",25127,34202
"Aboye","278652",2386,11822
"Aboye","277488",93,8943
"Aboye","272537",1750,16237
"Aboye","288572",39296,45144
"Aboye","283347",15364,19878
"Aboye","273824",6838,25857
"Aboye","290691",35444,42819
"Aboye","271911",2630,21230
"Aboye","287669",14840,21060
"Aboye","282674",42368,47728
"Aboye","287094",19745,35133
"Aboye","280946",381,7873
"Aboye","291686",9435,45420
"Aboye","280603",11022,37068
"Aboye","281111",24311,28865
"Aboye","262130",2625,8692
"Aboye","271062",24614,35539
"Aboye","282502",29479,53300
"Aboye","282027",33729,50696
"Aboye","286643",12496,16697
"Aboye","288402",7452,22882
"Aboye","258",44828,52802
"Aboye","270299",4696,18021
"Aboye","289788",16738,22531
"Aboye","279383",35673,43097
"Aboye","277564",33839,42072
"Aboye","273872",925,9862
"Aboye","274839",10044,15851
"Aboye","290007",30866,41389
"Aboye","269900",1032,6830
"Aboye","266417",3257,10165
"Aboye","291856",8844,22765
"Aboye","290575",14293,19688
"Aboye","281002",3602,14651
"Aboye","290176",6008,12512
"Aboye","289575",73004,78336
"Aboye","289681",19860,32999
"Aboye","287319",639,22132
"Aboye","290297",6663,30392
"Aboye","291302",19077,35993
"Aboye","278898",315,14058
"Aboye","286831",26409,37983
"Aboye","291203",53105,62989
"Aboye","281139",17449,37042
"Aboye","291986",9250,28606
"Aboye","289342",9565,32606
"Aboye","266640",2554,14352
"Aboye","279285",18080,36627
"Aboye","275192",27291,41846
"Aboye","244956",346,10054
"Aboye","277839",1638,10612
"Aboye","286166",24401,39839
"Aboye","272958",8222,25692
"Aboye","286560",2329,8785
"Aboye","291470",18981,27896
"Aboye","287790",4433,12861
"Aboye","291664",14062,21384
"Aboye","288679",57801,67377
"Aboye","288613",18381,25116
"Aboye","248940",14576,20909
"Aboye","277039",29886,36819
"Aboye","277332",33825,41179
"Aboye","270941",4116,12898
"Aboye","279376",7834,16430
"Aboye","283450",17256,20553
"Aboye","284968",2694,9019
"Aboye","284941",0,4706
"Aboye","275602",38136,51924
"Aboye","254848",13116,20809
"Aboye","279978",17501,21637
"Aboye","288896",20689,67010
"Aboye","240177",235,12587
"Aboye","272632",583,5869
"Aboye","281294",9793,19454
"Aboye","287594",22847,27826
"Aboye","269537",8871,21066
"Aboye","274055",2786,13394
"Aboye","266325",8171,20163
"Aboye","273302",3446,12438
"Aboye","256366",841,6759
"Aboye","271657",1128,26217
"Aboye","277437",8126,16067
"Aboye","288972",7038,15192
"Aboye","270489",6030,18683
"Aboye","268399",1304,8174
"Aboye","287900",30583,38514
"Aboye","288087",1745,4165
"Aboye","290575",24598,39566
"Aboye","275174",216,9690
"Aboye","277451",10449,26758
"Aboye","271888",10345,17865
"Aboye","288090",610,25490
"Aboye","278102",99,12514
"Aboye","287271",41534,50338
"Aboye","280193",5296,13698
"Aboye","273529",11585,18397
"Aboye","271993",22844,28287
"Aboye","290106",48272,78014
"Aboye","289265",2311,9803
"Aboye","281184",1318,6285
"Aboye","289106",15725,35621
"Aboye","270438",86,8892
"Aboye","261862",5008,13909
"Aboye","276529",637,8619
"Aboye","260707",1948,9674
"Aboye","284874",9110,14912
"Aboye","288825",17013,34005
"Aboye","282052",30849,37305
"Aboye","287412",34635,55133
"Aboye","287326",26077,32908
"Aboye","242741",228,7441
"Aboye","273865",5897,9949
"Aboye","274175",23277,26749
"Aboye","202793",2,5073
"Aboye","278136",49145,59371
"Aboye","272464",12435,30159
"Aboye","283003",1099,3240
"Aboye","270891",1197,3347
"Aboye","286991",27850,34818
"Aboye","276464",16953,26811
"Aboye","279270",8934,17538
"Aboye","280960",12958,14985
"Aboye","276125",15368,23423
"Aboye","290499",131,13631
"Aboye","278606",49345,58042
"Aboye","286247",42764,57082
"Aboye","291474",23590,38009
"Aboye","288360",17418,26562
"Aboye","286774",19756,30442
"Aboye","135",13930,23242
"Aboye","283384",22934,29879
"Aboye","280704",4927,12145
"Aboye","285453",44190,52409
"Aboye","266341",886,9299
"Aboye","281625",29277,34929
"Aboye","290807",32460,41147
"Aboye","291606",21189,63059
"Aboye","288832",21453,25264
"Aboye","290606",24419,46295
"Aboye","277728",59977,69436
"Aboye","278582",13131,40846
"Aboye","292263",33915,42559
"Aboye","281725",18977,26591
"Aboye","291887",28920,41340
"Aboye","287723",30284,39906
"Aboye","271667",6550,24926
"Aboye","277728",29309,57634
"Aboye","283448",7130,9523
"Aboye","288147",3147,8426
"Aboye","285947",15818,28037
"Aboye","283165",1284,4578
"Aboye","275372",39329,41686
"Aboye","283490",556,51732
"Aboye","282669",24796,38203
"Aboye","284633",3072,8465
"Aboye","288856",7961,19460
"Aboye","283783",16570,35110
"Aboye","281504",2017,9448
"Aboye","287315",45201,47171
"Aboye","288194",40630,65453
"Aboye","275292",30567,39054
"Aboye","282341",13619,38667
"Aboye","283135",9683,18899
"Aboye","281123",18031,24437
"Aboye","289574",32020,43184
"Aboye","277039",13034,18101
"Aboye","286477",6303,8673
"Aboye","280062",16842,26648
"Aboye","282306",6344,34649
"Aboye","283301",49304,58882
"Aboye","291182",356,5105
"Aboye","287241",2787,15708
"Aboye","290572",205,37719
"Aboye","285397",133,5661
"Aboye","282029",19048,26533
"Aboye","287542",12726,29066
"Aboye","264243",22663,28569
"Aboye","284746",26317,40992
"Aboye","274935",12054,16867
"Aboye","290807",26558,30668
"Aboye","289129",66965,78798
"Aboye","290204",1595,12080
"Aboye","286315",43166,51757
"Aboye","280407",23525,37790
"Aboye","287824",10795,18923
"Aboye","189675",4110,8603
"Aboye","288004",1622,9747
"Aboye","286912",41030,48080
"Aboye","287857",61530,67953
"Aboye","284642",13955,54143
"Aboye","287351",5603,26221
"Aboye","276004",32396,40587
"Aboye","243757",278,2125
"Aboye","291830",467,17022
"Aboye","276574",15046,19698
"Aboye","272946",31538,49165
"Aboye","269931",9443,15865
"Aboye","280385",8718,24923
"Aboye","283068",31009,37307
"Aboye","283296",13655,25305
"Aboye","289405",27118,36574
"Aboye","270325",5141,9764
"Aboye","282608",2270,13321
"Aboye","286091",29029,47020
"Aboye","289976",16984,22917
"Aboye","282674",5509,12235
"Aboye","290485",26640,33012
"Aboye","288271",7595,15995
"Aboye","291639",19350,32042
"Aboye","278185",32043,37433
"Aboye","291210",61120,84643
"Aboye","277790",35294,44275
"Aboye","278838",14682,39316
"Aboye","291516",125,38911
"Aboye","285546",8144,34140
"Aboye","288525",22302,30698
"Aboye","267086",269,15348
"Aboye","281332",19980,25745
"Aboye","276662",5593,16909
"Aboye","289830",8752,22280
"Aboye","289270",6841,15952
"Aboye","291286",230,25933
"Aboye","272798",1979,7994
"Aboye","282729",57138,79071
"Aboye","287099",37569,43965
"Aboye","283355",10318,20737
"Aboye","284362",50446,56660
"Aboye","281272",24745,31363
"Aboye","284978",2781,6800
"Aboye","283021",12835,17328
"Aboye","290107",56076,71004
"Aboye","277036",30005,36557
"Aboye","287964",24150,31354
"Aboye","319",54778,69181
"Aboye","247780",10239,25661
"Aboye","290730",30854,61163
"Aboye","292196",6062,20265
"Aboye","286756",13311,17692
"Aboye","279709",2926,14855
"Aboye","284032",8668,20062
"Aboye","287202",63619,75126
"Aboye","280729",18668,44165
"Aboye","280668",10407,19776
"Aboye","287786",15006,24990
"Aboye","283510",2631,8179
"Aboye","288713",8865,12733
"Aboye","284637",6956,11490
"Aboye","288880",13322,77251
"Aboye","291788",61333,70034
"Aboye","278035",10693,14160
"Aboye","286528",2959,12033
"Aboye","290405",379,13480
"Aboye","285859",22347,32016
"Aboye","279383",58666,62656
"Aboye","274778",17788,34087
"Aboye","280341",17384,26841
"Aboye","288525",8748,13576
"Aboye","274093",4816,47584
"Aboye","274631",18464,42256
"Aboye","281768",925,7826
"Aboye","284454",13516,23419
"Aboye","281727",2251,12425
"Aboye","281124",11221,13698
"Aboye","282131",645,3853
"Aboye","280469",28702,39403
"Aboye","283962",12893,19675
"Aboye","282434",590,16519
"Aboye","285453",53855,66263
"Aboye","287525",24856,33008
"Aboye","271002",15326,23431
"Aboye","290079",28773,43476
"Aboye","279283",37116,55545
"Aboye","288236",69344,76964
"Aboye","289505",12874,22582
"Aboye","271657",30679,33291
"Aboye","281333",3781,7462
"Aboye","289008",13772,34974
"Aboye","260600",2019,14771
"Aboye","290165",569,5695
"Aboye","281014",28021,39746
"Aboye","283029",24177,27973
"Aboye","288926",29721,41706
"Aboye","276726",1628,8340
"Aboye","285517",172,7735
"Aboye","281518",24044,29267
"Aboye","285995",24123,32968
"Aboye","276222",2687,7681
"Aboye","270025",20392,34143
"Aboye","278003",32254,45650
"Aboye","290897",62756,68279
"Aboye","254",48410,79588
"Aboye","289731",6336,12514
"Aboye","257700",6183,10872
"Aboye","274275",21767,33392
"Aboye","289236",21755,31968
"Aboye","279383",2708,13230
"Aboye","287525",6989,20508
"Aboye","288860",11933,13729
"Aboye","290192",2904,9961
"Aboye","249522",5542,11981
"Aboye","277270",49,42091
"Aboye","288268",74209,89526
"Aboye","291069",3762,5586
"Aboye","283029",16162,19806
"Aboye","289059",48825,53715
"Aboye","288755",11742,15862
"Aboye","248940",9437,13950
"Aboye","271596",50063,57762
"Aboye","242655",3049,8309
"Aboye","269058",9065,10980
"Aboye","283618",78159,83999
"Aboye","272714",28666,37974
"Aboye","272056",19547,38613
"Aboye","277492",4756,13691
"Aboye","235374",27,4983
"Aboye","290117",5626,8475
"Aboye","269317",22354,31956
"Aboye","275871",30426,43597
"Aboye","274055",59271,68634
"Aboye","291938",1490,13902
"Aboye","288135",29173,45594
"Aboye","286526",4510,35944
"Aboye","287883",17875,24456
"Aboye","273260",2104,9512
"Aboye","290192",19576,51665
"Aboye","280754",7189,17315
"Aboye","288360",26930,37688
"Aboye","291180",71819,84647
"Aboye","280422",2709,12848
"Aboye","289030",50684,64077
"Aboye","290887",10625,19013
"Aboye","276432",7106,11846
"Aboye","289892",29603,43507
"Aboye","282435",5268,18932
"Aboye","288042",6247,10324
"Aboye","278085",19136,34795
"Aboye","277844",3617,20355
"Aboye","281536",1375,6864
"Aboye","288975",75349,82465
"Aboye","273048",45765,48698
"Aboye","271619",5493,12230
"Aboye","277023",17662,56688
"Aboye","248367",3662,12704
"Aboye","286317",64804,71810
"Aboye","287250",40440,49190
"Aboye","280716",56412,59696
"Aboye","280942",34175,48315
"Aboye","267375",2919,7950
"Aboye","289549",18691,20334
"Aboye","272783",37330,54824
"Aboye","276356",27044,36089
"Aboye","283465",28477,30953
"Aboye","261695",2689,12161
"Aboye","287609",14783,25639
"Aboye","269551",1404,7491
"Aboye","277182",10627,12819
"Aboye","291915",50916,66977
"Aboye","278399",13064,15343
"Aboye","253",12626,21369
"Aboye","284370",2149,26865
"Aboye","285764",6236,11926
"Aboye","278322",13212,18584
"Aboye","278206",25310,28693
"Aboye","282935",1851,28114
"Aboye","284303",5657,11179
"Aboye","285808",6699,17332
"Aboye","286278",1729,9869
"Aboye","276486",23164,35166
"Aboye","286639",7115,18323
"Aboye","285534",3602,16926
"Aboye","288713",13427,19537
"Aboye","274175",5187,16323
"Aboye","291171",27274,28872
"Aboye","290954",893,6742
"Aboye","285990",34881,42933
"Aboye","280073",2093,9549
"Aboye","280946",11306,17438
"Aboye","290266",4910,14594
"Aboye","287282",4515,14414
"Aboye","284025",18586,27806
"Aboye","289080",10642,20761
"Aboye","289407",21390,52315
"Aboye","278975",624,8886
"Aboye","286976",257,10447
"Aboye","245013",3724,10377
"Aboye","277093",38375,47994
"Aboye","284936",2831,8692
"Aboye","285870",509,34424
"Aboye","228349",1664,5757
"Aboye","278606",40758,46221
"Aboye","281583",13540,17956
"Aboye","279317",43238,45544
"Aboye","278386",27443,29630
"Aboye","279451",8038,21167
"Aboye","292338",57213,74910
"Aboye","254736",26581,39042
"Aboye","277347",2569,5334
"Aboye","286956",16394,22373
"Aboye","284671",16095,28443
"Aboye","288466",17279,22233
"Aboye","277306",2532,23588
"Aboye","276964",5420,26691
"Aboye","289302",29908,40399
"Aboye","282337",4887,9595
"Aboye","262160",7549,10438
"Aboye","286997",6237,16767
"Aboye","281300",16488,24696
"Aboye","286971",12425,35475
"Aboye","278561",29598,42341
"Aboye","287190",5321,26986
"Aboye","290617",31759,47945
"Aboye","262946",333,12714
"Aboye","281571",9284,11680
"Aboye","290926",24109,33399
"Aboye","258778",2209,3819
"Aboye","288588",28030,33816
"Aboye","253087",537,5046
"Aboye","257464",347,11153
"Aboye","282691",7454,15046
"Aboye","282394",10520,14203
"Aboye","275928",19588,28092
"Aboye","282039",33397,39574
"Aboye","287906",17519,26562
"Aboye","283493",38204,44147
"Aboye","276876",3698,9203
"Aboye","288823",12949,48939
"Aboye","232832",350,7037
"Aboye","291962",20891,31411
"Aboye","275786",2905,16325
"Aboye","286186",10539,15506
"Aboye","281091",19373,29461
"Aboye","277285",36752,45772
"Aboye","274841",19383,26337
"Aboye","281852",1663,12522
"Aboye","278190",4736,17583
"Aboye","260114",138,5636
"Aboye","286839",10171,14539
"Aboye","289669",16290,23535
"Aboye","282344",25990,31058
"Aboye","291213",215,13138
"Aboye","272463",994,3087
"Aboye","286269",10414,17149
"Aboye","252246",5358,10370
"Aboye","283066",3270,8796
"Aboye","281903",20578,22218
"Aboye","279611",13617,21397
"Aboye","286159",13754,23751
"Aboye","271303",16412,21643
"Aboye","273825",21771,27779
"Aboye","292196",25838,39801
"Aboye","276657",12090,14272
"Aboye","289664",37792,42902
"Aboye","276340",15574,34478
"Aboye","277055",20611,25025
"Aboye","284365",19235,22005
"Aboye","232065",1307,3996
"Aboye","282208",38055,44102
"Aboye","282815",9294,10892
"Aboye","264278",206,2402
"Aboye","288301",5689,9844
"Aboye","290499",14730,20111
"Aboye","269011",7481,26434
"Aboye","289798",54916,62665
"Aboye","285086",25483,28628
"Aboye","286849",5788,15036
"Aboye","280370",25442,32179
"Aboye","203308",2709,9074
"Aboye","291758",31484,38743
"Aboye","280171",29444,33865
"Aboye","266170",8586,26158
"Aboye","280182",42323,45091
"Aboye","275712",25384,30619
"Aboye","289871",30225,36412
"Aboye","278036",4173,13855
"Aboye","287261",50066,56623
"Aboye","288572",27195,33537
"Aboye","288285",883,32228
"Aboye","279247",25379,52019
"Aboye","279419",79425,93570
"Aboye","283099",7685,26247
"Aboye","205261",1011,11244
"Aboye","282317",36924,42149
"Aboye","274763",6925,8499
"Aboye","278902",756,14654
"Aboye","278749",17499,23525
"Aboye","281988",1318,10329
"Aboye","287107",37986,58272
"Aboye","270425",14495,19768
"Aboye","288424",21980,25241
"Aboye","276336",7411,22389
"Aboye","287014",5037,13175
"Aboye","288982",78535,81772
"Aboye","279000",41009,48538
"Aboye","265149",982,5344
"Aboye","284224",16583,19545
"Aboye","274312",32330,39741
"Aboye","283332",3887,10474
"Aboye","278721",23341,32096
"Aboye","290443",16795,23139
"Aboye","272968",1929,8931
"Aboye","289084",36993,42675
"Aboye","283750",18808,30094
"Aboye","283197",787,4831
"Aboye","308772",10349,22871
"Aboye","287978",23690,33985
"Aboye","291197",37350,45549
"Aboye","290883",16503,25123
"Aboye","292283",22411,30804
"Aboye","277744",28402,33177
"Aboye","276687",1151,4591
"Aboye","283213",22476,33647
"Aboye","289916",11824,22689
"Aboye","274672",7852,36935
"Aboye","283664",19818,22761
"Aboye","292250",42266,57018
"Aboye","281415",10127,13013
"Aboye","276267",840,5548
"Aboye","287138",43088,47542
"Aboye","277471",8825,17810
"Aboye","284950",22671,28648
"Aboye","290167",52258,59368
"Aboye","262177",26598,44028
"Aboye","278787",32236,42552
"Aboye","249502",75,4323
"Aboye","288551",17056,32369
"Aboye","290515",27171,40498
"Aboye","266325",26407,31158
"Aboye","268851",1765,10946
"Aboye","283681",43238,73737
"Aboye","288822",2319,12111
"Aboye","287443",2243,20300
"Aboye","277750",16193,24945
"Aboye","241087",2552,10923
"Aboye","282729",10362,31354
"Aboye","288269",18726,29522
"Aboye","281753",579,17992
"Aboye","284960",4268,34181
"Aboye","284725",47622,52656
"Aboye","283812",26398,29747
"Aboye","258747",464,4539
"Aboye","236569",1219,6914
"Aboye","291181",28097,44212
"Aboye","280818",4973,14352
"Aboye","279950",29191,30834
"Aboye","280483",3552,11083
"Aboye","292077",30666,46191
"Aboye","102",54819,57344
"Aboye","291182",10325,21653
"Aboye","271170",35653,37873
"Aboye","282040",153,6828
"Aboye","287846",26219,32940
"Aboye","271843",15752,24556
"Aboye","291606",67665,72132
"Aboye","287364",26371,31825
"Aboye","278587",13123,17596
"Aboye","282115",20540,26531
"Aboye","291875",28389,36479
"Aboye","285448",37984,45884
"Aboye","276632",23186,31116
"Aboye","291536",59701,62677
"Aboye","274279",10355,12562
"Aboye","291705",34992,45032
"Aboye","263767",4245,6126
"Aboye","282431",9161,17367
"Aboye","288067",24595,32373
"Aboye","288003",26354,28042
"Aboye","272979",24599,29141
"Aboye","259789",1858,4601
"Aboye","289314",7591,11808
"Aboye","275516",14352,29327
"Aboye","281780",21413,30265
"Aboye","281921",2605,5587
"Aboye","254968",838,6804
"Aboye","291403",12197,13936
"Aboye","286013",20554,26617
"Aboye","277332",26903,32489
"Aboye","291962",38280,42712
"Aboye","291925",5193,34301
"Aboye","285685",13659,23579
"Aboye","287304",25,7290
"Aboye","289612",27387,35107
"Aboye","290602",25792,30443
"Aboye","285435",1681,12817
"Aboye","281757",37561,40586
"Aboye","271170",1581,12269
"Aboye","289129",47624,50228
"Aboye","277039",22212,27238
"Aboye","291825",1326,7587
"Aboye","282317",6275,15912
"Aboye","287128",26104,32219
"Aboye","283861",33943,38222
"Aboye","284894",16715,30550
"Aboye","286531",15671,29224
"Aboye","291159",59836,61371
"Aboye","292222",48476,51587
"Aboye","286416",3955,12729
"Aboye","283268",1466,7458
"Aboye","281903",12566,18715
"Aboye","282388",4692,11068
"Aboye","286756",5422,11259
"Aboye","273476",2996,26567
"Aboye","276956",13622,17392
